"RiverOutfitterName","ROL_ID","ROL_ID_Flag","BusinessEntity_ID","BusinessEntity_ID_Flag","GNIS_Name_CSV","GNIS_Name_CSV_Flag","GNIS_ID_CSV","GNIS_ID_CSV_Flag","Business_Address","Business_Municipality","State","Business_ZipCode","Municipality_DOLA_LG_ID","Municipality_DOLA_LG_ID_Flag","Latitude","Longitude","Lat_Long_Flag","Formation_Date","Formation_Date_Flag","Website","Website_Flag","CROA_Member","Comments"
Red Tail Rafting Ltd. LLC.,580,G,20171133404,G,,x,,x,601 Zerex St.,Fraser,CO,80442,25006,G,39.942074,-105.810925,g1,2017-02-21 00:00:00,G,,x,x,
"Ridgway Independent Guide Service, LLC.",387,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Rio Grande Angler, Inc.",389,G,20001128749,G,,x,,x,13 S Main St,Creede,CO,81130,40001,G,38.433313,-78.883534,g1,2000-06-28 00:00:00,G,,x,x,
"Rio Outfitters, LLC.",487,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"River Runners of Nathrop, LLC.",397,G,20031304577,G,,x,,x,24070 CR 301,Buena Vista,CO,81211,08002,G,38.767212,-106.095978,g1,2003-09-23 00:00:00,G,,x,x,
"Roaring Fork Club, LLC",335,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Rock N Row, Inc.",327,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
Rocky Mountain Adventures,498,G,20111141136,G,"Arkansas River, Cache la Poudre River, Clear Creek, Colorado River, North Platte River",G,"00078956, 00205018, 00181805, 00045730, 00204647",G,1117 N US Hwy 287,Fort Collins,CO,80524,35009,G,40.625079,-105.096159,g1,2011-03-08 00:00:00,G,http://www.shoprma.com/,G,Y,"Parent company is Ignacious Ventures, LLC."
"Rocky Mountain Council, BSA",112,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Rocky Mountain White Water Rafting, LLC.",499,G,20151103468,G,Clear Creek,G,00181805,G,1313 Idaho St,Idaho Springs,CO,80452,10008,G,30.457480,-84.303318,g1,2015-02-12 00:00:00,G,http://gorafting.co/,G,Y,
"Royal Gorge Rafting, Inc.",421,G,20041379599,G,,x,,x,45045 Highway 50 W,Canon City,CO,81212,22002,G,38.497023,-105.320769,g1,2004-10-28 00:00:00,G,,x,x,
"SSI Venture, LLC",191,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"SSI Venture, LLC",381,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"SSI Venture, LLC",410,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
S and S Outfitters,520,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Scenic River Tours, Inc.",114,G,19921042707,G,,x,,x,703 West Tomichi Ave,Gunnison,CO,81230,26008,G,38.544167,-106.935207,g1,1992-04-27 00:00:00,G,,x,x,
Sheri Griffith River Expeditions,379,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Snowmass Whitewater, Inc.",077,G,19871373857,G,,x,,x,542 Meadow Rd,Snowmass Village,CO,81615,49012,G,26.595262,-81.740131,g1,1979-05-23 00:00:00,G,,x,x,
